,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population
72,72,Azerbaijan,"792,457",,"9,707 ",,"782,621",,129,,"76,908",942,"6,788,729","658,851","10,303,895 "
73,73,Panama,"771,005",,"8,182  ",,"759,495",,"3,328",9,"173,761","1,844","5,820,472","1,311,754","4,437,167 "
74,74,Saudi Arabia,"753,241",,"9,075 ",,"740,244",,"3,922",46,"21,046",254,"41,807,813","1,168,113","35,790,910 "
75,75,Sri Lanka,"663,091",,"16,500 ",,"642,571",,"4,020",,"30,734",765,"6,486,117","300,630","21,575,078 "
76,76,Paraguay,"649,034",,"18,795 ",,"624,673",,"5,566",5,"89,025","2,578","2,623,300","359,827","7,290,440 "
77,77,Kuwait,"631,076",,"2,555 ",,"627,610",,911,8,"143,937",583,"7,986,760","1,821,636","4,384,388 "
78,78,Myanmar,"612,714",,"19,434 ",,"591,583",,"1,697",,"11,127",353,"7,882,371","143,141","55,067,244 "
79,79,Palestine,"581,816",,"5,353 ",,"575,899",,564,17,"109,466","1,007","3,078,533","579,210","5,315,056 "
80,80,Dominican Republic,"578,954",,"4,376 ",,"574,297",,281,16,"52,423",396,"3,261,060","295,280","11,043,976 "
81,81,Estonia,"569,722",,"2,531 ",,"505,835",,"61,356",7,"428,961","1,906","3,307,699","2,490,469","1,328,143 "
82,82,Bahrain,"565,464",,"1,475 ",,"560,405",,"3,584",3,"312,742",816,"9,693,244","5,361,061","1,808,083 "
83,83,Venezuela,"522,088",,"5,705 ",,"515,212",,"1,171",230,"18,454",202,"3,359,014","118,732","28,290,731 "
84,84,Moldova,"516,986",,"11,489 ",,"504,142",,"1,355",49,"128,697","2,860","3,216,305","800,660","4,017,066 "
85,85,Egypt,"515,645",,"24,613 ",,"442,182",,"48,850",122,"4,873",233,"3,693,367","34,905","105,812,193 "
86,86,Libya,"501,862",,"6,429 ",,"490,900",,"4,533",101,"71,290",913,"2,476,960","351,857","7,039,683 "
