,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop
114,114,El Salvador,"162,089",,"4,127 ",,"150,662",,"7,300",8,"24,765",631
115,115,Ghana,"161,124",,"1,445 ",,"159,655",,24,1,"4,998",45
116,116,Namibia,"158,112",,"4,022 ",,"153,662",,428,,"60,263","1,533"
117,117,Martinique,"147,519",,918 ,,104,,"146,497",8,"393,656","2,450"
118,118,Trinidad and Tobago,"143,465",,"3,808 ",,"133,138",,"6,519",18,"101,919","2,705"
119,119,Brunei ,"140,723",,218 ,,"139,409",,"1,096",3,"316,219",490
120,120,Guadeloupe,"140,130",,854 ,,"2,250",,"137,026",19,"350,109","2,134"
121,121,Cambodia,"136,146",,"3,056 ",,"132,851",,239,,"7,945",178
122,122,Rwanda,"129,760",,"1,458 ",,"45,522",,"82,780",,"9,591",108
123,123,Jamaica,"129,373",,"2,937 ",,"82,795",,"43,641",,"43,349",984
124,124,Cameroon,"119,780",,"1,927 ",,"117,791",,62,13,"4,319",69
125,125,Angola,"99,194",,"1,900 ",,"97,149",,145,,"2,858",55
126,126,Malta,"89,919",,684 ,,"82,969",,"6,266",4,"202,676","1,542"
127,127,DRC,"87,023",,"1,337 ",,"50,930",,"34,756",,921,14
128,128,Senegal,"85,978",,"1,965 ",,"83,995",,18,1,"4,903",112
129,129,Malawi,"85,741",,"2,633 ",,"81,934",,"1,174",67,"4,283",132
130,130,Ivory Coast,"81,875",,799 ,,"81,054",,22,,"2,972",29
131,131,French Guiana,"80,422",,394 ,,"11,254",,"68,774",1,"257,263","1,260"
132,132,Suriname,"79,302",,"1,327 ",,"49,396",,"28,579",,"133,037","2,226"
133,133,Channel Islands,"73,523",,166 ,,"71,955",,"1,402",,"415,979",939
134,134,French Polynesia,"72,621",,648 ,,N/A,N/A,N/A,7,"255,861","2,283"
135,135,Eswatini,"70,190",,"1,395 ",,"68,706",,89,11,"59,393","1,180"
136,136,Barbados,"66,317",,386 ,,"62,507",,"3,424",,"230,261","1,340"
137,137,Fiji,"64,524",,862 ,,"62,677",,985,,"71,051",949
138,138,Madagascar,"64,121",,"1,391 ",,"59,370",,"3,360",14,"2,213",48
139,139,Guyana,"63,399",,"1,228 ",,"62,081",,90,1,"79,910","1,548"
140,140,Sudan,"62,084",,"4,929 ",,N/A,N/A,N/A,,"1,359",108
141,141,New Caledonia,"60,457",,312 ,,"60,064",,81,9,"208,159","1,074"
142,142,Mauritania,"58,683",,982 ,,"57,693",,8,,"12,051",202
143,143,Belize,"57,406",,676 ,,"56,528",,202,6,"139,805","1,646"
144,144,Bhutan,"56,301",,19 ,,"50,413",,"5,869",9,"71,548",24
145,145,Cabo Verde,"55,999",,401 ,,"55,537",,61,23,"98,789",707
146,146,Syria,"55,790",,"3,150 ",,"52,065",,575,,"3,054",172
147,147,Gabon,"47,594",,303 ,,"47,280",,11,,"20,513",131
148,148,Papua New Guinea,"43,732",,649 ,,"43,025",,58,7,"4,727",70
149,149,Taiwan,"43,243",,856 ,,"22,537",,"19,850",,"1,810",36
150,150,Seychelles,"42,079",,165 ,,"41,260",,654,,"423,147","1,659"
151,151,Curaçao,"41,652",,271 ,,"40,800",,581,3,"251,977","1,639"
152,152,Andorra,"41,013",,153 ,,"40,343",,517,14,"529,289","1,975"
153,153,Burundi,"38,812",,38 ,,773,,"38,001",,"3,098",3
154,154,Mauritius,"37,460",,985 ,,"35,611",,864,,"29,367",772
155,155,Mayotte,"37,038",,187 ,,"2,964",,"33,887",,"130,115",657
156,156,Togo,"36,973",,273 ,,"36,679",,21,,"4,285",32
157,157,Guinea,"36,459",,440 ,,"35,976",,43,8,"2,647",32
158,158,Faeroe Islands,"34,658",,28 ,,"7,693",,"26,937",5,"704,474",569
159,159,Aruba,"34,345",,212 ,,"34,038",,95,2,"319,245","1,971"
160,160,Tanzania,"33,864",,803 ,,N/A,N/A,N/A,7,539,13
161,161,Bahamas,"33,430",,789 ,,"32,297",,344,11,"83,574","1,972"
162,162,Lesotho,"32,910",,697 ,,"24,155",,"8,058",,"15,146",321
163,163,Mali,"30,700",,731 ,,"29,787",,182,,"1,441",34
164,164,Haiti,"30,615",,835 ,,"29,312",,468,,"2,627",72
165,165,Isle of Man,"28,416",,87 ,,"26,794",,"1,535",,"331,023","1,013"
166,166,Benin,"26,952",,163 ,,"25,506",,"1,283",5,"2,123",13
167,167,Somalia,"26,485",,"1,350 ",,"13,182",,"11,953",,"1,587",81
168,168,Congo,"24,079",,385 ,,"20,178",,"3,516",,"4,179",67
169,169,Saint Lucia,"23,161",,368 ,,"22,716",,77,1,"125,102","1,988"
170,170,Timor-Leste,"22,857",,130 ,,"22,714",,13,,"16,762",95
171,171,Cayman Islands,"21,755",,26 ,,"8,553",,"13,176",1,"324,164",387
