,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population
0, ,World,"512,804,816","+583,257","6,259,009","+2,327","466,654,625","+739,998","39,891,182","41,347","65,788",803.0,,,
1,1,China,"214,243","+5,659","4,975 ",+52,"180,951","+2,796","28,317",417,149,3,"160,000,000","111,163","1,439,323,776 "
2,2,USA,"83,037,059","+62,993","1,020,660 ",+263,"80,655,685","+32,282","1,360,714","1,562","248,214","3,051","1,005,251,244","3,004,892","334,538,223 "
3,3,India,"43,075,864","+3,378","523,803 ",+50,"42,533,377","+2,755","18,684",698,"30,665",373,"836,945,383","595,810","1,404,717,429 "
4,4,Brazil,"30,433,042","+14,122","663,484 ",+195,"29,507,557","+8,135","262,001","8,318","141,344","3,082","63,776,166","296,204","215,311,673 "
5,5,France,"28,595,803","+52,919","145,869 ",+158,"26,694,010","+141,558","1,755,924","1,677","436,333","2,226","266,484,045","4,066,187","65,536,600 "
6,6,Germany,"24,704,597","+96,523","135,794 ",+186,"22,227,600","+139,300","2,341,203","1,446","293,153","1,611","122,332,384","1,451,639","84,271,929 "
7,7,UK,"22,038,340","+7,332","174,912 ",+216,"21,168,418","+37,580","695,010",302,"321,561","2,552","517,337,635","7,548,453","68,535,581 "
8,8,Russia,"18,174,991","+7,710","375,727 ",+161,"17,528,963","+11,041","270,301","2,300","124,445","2,573","273,400,000","1,871,982","146,048,440 "
9,9,S. Korea,"17,194,616","+50,551","22,724 ",+136,N/A,N/A,N/A,526,"334,854",443,"15,804,065","307,774","51,349,553 "
10,10,Italy,"16,409,183","+58,861","163,377  ",+133,"14,998,689","+60,951","1,247,117",371,"272,126","2,709","213,390,610","3,538,822","60,299,895 "
11,11,Turkey,"15,030,321","+1,924","98,760 ",+9,"14,936,277","+8,302","-4,716",975,"174,787","1,148","158,905,150","1,847,905","85,992,077 "
12,12,Spain,"11,896,152","+20,899","104,456 ",+77,"11,389,694","+14,081","402,002",339,"254,258","2,233","471,036,328","10,067,511","46,787,764 "
13,13,Vietnam,"10,644,700","+6,068","43,038 ",+1,"9,245,528","+3,225","1,356,134",594,"107,594",435,"85,796,776","867,213","98,933,864 "
14,14,Argentina,"9,072,230",,"128,542 ",,"8,895,999",,"47,689",372,"197,432","2,797","35,716,069","777,261","45,951,194 "
15,15,Netherlands,"8,047,132","+1,679","22,243 ",+4,"7,811,568","+27,781","213,321",66,"467,750","1,293","21,107,399","1,226,894","17,203,931 "
16,16,Japan,"7,813,849","+42,313","29,506 ",+39,"7,356,289","+36,932","428,054",173,"62,127",235,"48,589,480","386,332","125,771,286 "
17,17,Iran,"7,221,121",+719,"141,072 ",+14,"6,980,483","+2,723","99,566","1,076","84,014","1,641","50,914,586","592,367","85,951,036 "
18,18,Colombia,"6,092,403",+236,"139,793 ",+4,"5,926,016",+188,"26,594",342,"117,454","2,695","34,465,052","664,441","51,870,736 "
19,19,Indonesia,"6,046,467",+395,"156,240 ",+23,"5,882,062",+572,"8,165","2,771","21,688",560,"95,495,775","342,534","278,791,850 "
20,20,Poland,"5,995,672",+855,"116,042 ",+20,"5,334,619",+61,"545,011","1,321","158,737","3,072","36,092,285","955,553","37,771,112 "
21,21,Australia,"5,889,048","+41,696","7,189 ",+26,"5,553,745","+44,688","328,114",137,"226,165",276,"69,260,340","2,659,892","26,038,778 "
22,22,Mexico,"5,737,811","+1,232","324,254 ",+33,"5,037,473",+781,"376,084","4,798","43,667","2,468","15,794,055","120,198","131,400,125 "
23,23,Ukraine,"5,001,719",+680,"108,391 ",+11,N/A,N/A,N/A,177,"115,633","2,506","19,521,252","451,303","43,255,264 "
24,24,Malaysia,"4,445,897","+2,579","35,542 ",+6,"4,360,061","+6,055","50,294",78,"134,231","1,073","58,674,831","1,771,514","33,121,289 "
25,25,Thailand,"4,238,061","+14,053","28,403 ",+129,"4,053,751","+16,782","155,907","1,496","60,441",405,"17,270,775","246,307","70,119,008 "
26,26,Austria,"4,135,344","+6,186","18,138 ",+21,"4,034,609","+7,765","82,597",99,"454,433","1,993","182,842,386","20,092,561","9,100,004 "
