,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population
0, ,World,"509,620,829","+151,610","6,243,586",+659,"462,521,340","+472,144","40,855,903","42,418","65,380",801.0,,,
1,1,USA,"82,662,748",,"1,018,335 ",,"80,465,351",,"1,179,062","1,426","247,115","3,044","1,000,463,737","2,990,818","334,511,757 "
2,2,India,"43,060,086",,"522,223 ",,"42,521,341",,"16,522",698,"30,658",372,"834,717,702","594,303","1,404,532,227 "
3,3,Brazil,"30,349,463",,"662,701 ",,"29,384,354",,"302,408","8,318","140,969","3,078","63,776,166","296,232","215,291,063 "
4,4,France,"28,303,931",,"145,060 ",,"25,880,440",,"2,278,431","1,677","431,893","2,213","266,484,045","4,066,309","65,534,632 "
5,5,Germany,"24,140,700",,"134,646 ",,"21,425,200","+182,200","2,580,854","1,980","286,474","1,598","122,332,384","1,451,701","84,268,279 "
6,6,UK,"21,933,206",,"173,352 ",,"20,875,063","+92,713","884,791",339,"320,049","2,530","514,985,782","7,514,671","68,530,719 "
7,7,Russia,"18,144,788","+7,651","375,061 ",+159,"17,483,483","+8,855","286,244","2,300","124,239","2,568","273,400,000","1,871,993","146,047,589 "
8,8,S. Korea,"16,929,564","+34,370","22,243 ",+110,N/A,N/A,N/A,668,"329,696",433,"15,804,065","307,778","51,348,952 "
9,9,Italy,"16,136,057",,"162,688 ",,"14,729,220",,"1,244,149",416,"267,591","2,698","211,691,841","3,510,580","60,301,104 "
10,10,Turkey,"15,018,547",,"98,691 ",,"14,870,422",,"49,434",975,"174,676","1,148","158,238,176","1,840,414","85,979,686 "
11,11,Spain,"11,786,036",,"103,908 ",,"11,261,340",,"420,788",339,"251,906","2,221","471,036,328","10,067,564","46,787,517 "
12,12,Vietnam,"10,563,502",,"43,013 ",,"9,086,075",,"1,434,414",612,"106,786",435,"85,789,114","867,241","98,921,912 "
13,13,Argentina,"9,060,923",,"128,344 ",,"8,895,999",,"36,580",412,"197,210","2,793","35,716,069","777,357","45,945,534 "
14,14,Netherlands,"8,035,603",,"22,206 ",,"7,678,509","+34,989","334,888",94,"467,094","1,291","21,107,399","1,226,931","17,203,414 "
15,15,Japan,"7,660,012","+38,450","29,308 ",+24,"7,178,748","+43,345","451,956",191,"60,902",233,"46,754,605","371,728","125,776,552 "
16,16,Iran,"7,217,117","+1,077","140,996 ",+21,"6,969,470","+2,516","106,651","1,031","83,982","1,641","50,862,245","591,859","85,936,350 "
17,17,Colombia,"6,091,343",,"139,778 ",,"5,924,745",,"26,820",342,"117,450","2,695","34,371,690","662,736","51,863,331 "
18,18,Indonesia,"6,044,467",+317,"156,133 ",+33,"5,875,083","+4,664","13,251","2,771","21,684",560,"95,024,563","340,892","278,752,361 "
