,#,"Country,Other",Date,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population
0, ,World,2022-04-25,510080177,403941,6245802,1952,463138404,1049158,40695971,42448,65439,801.3,6257874437,404555957,7884959285
1,1,China,2022-04-25,203334,2680,4776,51,169380,2982,29178,274,141,3.0,160000000,111163,1439323776
2,2,USA,2022-04-25,82747175,38858,1018718,186,80506860,41509,1221597,1415,247359,3045.0,1001729381,2994507,334522343
3,3,India,2022-04-25,43062097,2011,522223,0,42523311,1970,16563,698,30658,372.0,834717702,594272,1404606308
4,4,Brazil,2022-04-25,30355919,6456,662777,76,29411813,27459,281329,8318,140994,3078.0,63776166,296221,215299307
5,5,France,2022-04-25,28317915,13984,145257,197,26083461,202981,2089197,1677,432101,2216.0,266484045,4066260,65535419
6,6,Germany,2022-04-25,24227680,86980,134817,171,21425200,182200,2667663,1980,287502,1600.0,122332384,1451676,84269739
7,7,UK,2022-04-25,21978198,10582,173693,114,20955075,172725,849430,339,320697,2534.0,514985782,7514457,68532664
8,8,Russia,2022-04-25,18144788,7651,375061,159,17483483,8855,286244,2300,124239,2568.0,273400000,1871988,146047929
9,9,S. Korea,2022-04-25,16929564,34370,22243,110,0,0,0,668,329695,433.0,15804065,307776,51349193
10,10,Italy,2022-04-25,16161748,25287,162781,93,14755958,26738,1243009,416,268020,2699.0,211830644,3512910,60300620
11,11,Turkey,2022-04-25,15021151,2604,98706,15,14888995,18573,33450,975,174696,1148.0,158372522,1841870,85984643
12,12,Spain,2022-04-25,11821601,11855,104148,80,11323230,24217,394223,339,252665,2226.0,471036328,10067543,46787616
13,13,Vietnam,2022-04-25,10611772,7445,43021,8,9092760,6685,1475991,664,107269,435.0,85791014,867218,98926693
14,14,Argentina,2022-04-25,9072230,0,128542,0,8895999,0,47689,372,197446,2798.0,35716069,777318,45947798
15,15,Netherlands,2022-04-25,8040573,1356,22228,7,7706644,63124,311701,78,467377,1292.0,21107399,1226916,17203621
16,16,Japan,2022-04-25,7660012,38450,29308,24,7178748,43345,451956,191,60903,233.0,46754605,371734,125774445
17,17,Iran,2022-04-25,7217117,1077,140996,21,6969470,2516,106651,1031,83976,1641.0,50862245,591819,85942224
18,18,Colombia,2022-04-25,6091551,208,139780,2,5925040,295,26731,342,117447,2695.0,34388490,663022,51866293
19,19,Indonesia,2022-04-25,6044467,317,156133,33,5875083,4664,13251,2771,21683,560.0,95024563,340873,278768157
20,20,Poland,2022-04-25,5991464,267,115948,0,5334380,6,541136,1588,158624,3070.0,36032893,953972,37771451
21,21,Mexico,2022-04-25,5733785,271,324129,12,5034427,535,375229,4798,43640,2467.0,15766174,119996,131389028
22,22,Australia,2022-04-25,5720127,30750,7002,13,5353033,39811,360092,132,219698,269.0,68886938,2645798,26036353
23,23,Ukraine,2022-04-25,4998517,224,108329,3,0,0,0,177,115553,2504.0,19521252,451281,43257407
24,24,Malaysia,2022-04-25,4433551,2478,35507,8,4330037,9215,68007,98,133872,1072.0,58425629,1764171,33117890
25,25,Thailand,2022-04-25,4180868,14994,27902,124,3978469,23524,174497,1496,59627,398.0,17270775,246312,70117577
26,26,Austria,2022-04-25,4108970,4111,18054,7,3998778,8918,92138,124,451556,1984.0,181910461,19991077,9099583
27,27,Israel,2022-04-25,4062278,4506,10673,3,4022613,13461,28992,220,435586,1144.0,41373364,4436346,9326000
28,28,Belgium,2022-04-25,4036113,2645,31382,15,3739914,13457,264817,156,345525,2687.0,33531891,2870614,11681086
29,29,Czechia,2022-04-25,3896154,592,40100,5,3840761,2796,15293,42,362601,3732.0,55122500,5130057,10745007
30,30,Portugal,2022-04-25,3791744,0,22162,0,0,0,0,61,373836,2185.0,41038444,4046066,10142802
31,31,South Africa,2022-04-25,3764865,1954,100333,30,3634446,1149,30086,175,62060,1654.0,24332659,401102,60664519
32,32,Canada,2022-04-25,3706887,7204,38847,64,3431944,2670,236096,471,96679,1013.0,60625588,1581171,38342208
33,33,Philippines,2022-04-25,3684712,213,60194,12,3611879,1221,12639,289,32833,536.0,29446030,262383,112225532
34,34,Switzerland,2022-04-25,3600181,1480,13835,4,3395378,16871,190968,90,410539,1578.0,20666182,2356627,8769392
35,35,Peru,2022-04-25,3561677,801,212761,19,0,0,0,353,105361,6294.0,29673543,877796,33804616
36,36,Chile,2022-04-25,3547977,1484,57376,1,3385643,7448,104958,263,182756,2955.0,36787580,1894924,19413751
37,37,Greece,2022-04-25,3285970,8413,28933,66,3178081,26364,78956,279,318077,2801.0,79010158,7648059,10330747
38,38,Denmark,2022-04-25,2960882,910,6105,21,2932403,1686,22374,15,507941,1047.0,127159230,21814223,5829189
