,#,"Country,Other",Date,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population
59,59,Lithuania,2022-04-29,1057691,543,9092,5,1022520,1026,26079,29,398657,3427,8242836,3106831,2653133
60,60,Tunisia,2022-04-29,1040193,0,28550,0,0,0,0,29,86367,2371,4572976,379693,12043871
61,61,Finland,2022-04-29,1023013,0,3939,0,46000,0,973074,24,184114,709,10720282,1929358,5556398
62,62,Slovenia,2022-04-29,1009085,1249,6592,4,989018,1351,13475,23,485263,3170,2645195,1272060,2079458
63,63,Belarus,2022-04-29,979909,563,6943,3,928536,0,44430,0,103764,735,13147723,1392227,9443662
64,64,Nepal,2022-04-29,978806,13,11951,0,966612,19,243,0,32528,397,5635237,187272,30091143
65,65,New Zealand,2022-04-29,923847,8325,696,13,869922,9438,53229,0,184692,139,7075276,1414461,5002100
66,66,Bolivia,2022-04-29,904883,125,21910,0,858053,576,24920,220,75640,1831,2699040,225615,11963027
67,67,UAE,2022-04-29,898310,265,2302,0,881516,368,14492,0,88871,228,155670872,15400677,10108054
68,68,Uruguay,2022-04-29,895775,0,7197,0,886654,0,1924,18,256254,2059,6091188,1742501,3495659
69,69,Ecuador,2022-04-29,869124,0,35588,0,0,0,0,759,47936,1963,2470170,136240,18130976
70,70,Costa Rica,2022-04-29,852074,0,8405,0,832853,0,10816,45,164530,1623,4291131,828588,5178848
71,71,Guatemala,2022-04-29,845868,879,17566,21,825981,839,2321,5,45676,949,4454022,240510,18519069
72,72,Latvia,2022-04-29,822013,411,5760,1,808909,952,7344,11,444758,3117,7174863,3882025,1848227
73,73,Azerbaijan,2022-04-29,792558,37,9709,2,782744,69,105,0,76905,942,6811382,660937,10305641
74,74,Panama,2022-04-29,775488,939,8184,0,761669,546,5635,8,174720,1844,5865660,1321551,4438467
75,75,Saudi Arabia,2022-04-29,753921,99,9086,1,741540,151,3295,45,21058,254,41883167,1169879,35801287
76,76,Sri Lanka,2022-04-29,663329,28,16504,0,646121,3,704,0,30743,765,6486117,300606,21576791
77,77,Paraguay,2022-04-29,649455,421,18795,0,624673,0,5987,2,89063,2577,2623300,359745,7292115
78,78,Kuwait,2022-04-29,631409,0,2555,0,628090,0,764,8,143973,583,8007805,1825933,4385597
79,79,Myanmar,2022-04-29,612864,21,19434,0,591794,0,1636,0,11128,353,7946399,144285,55074209
80,80,Palestine,2022-04-29,581940,0,5353,0,576242,0,345,17,109442,1007,3078533,578962,5317330
81,81,Dominican Republic,2022-04-29,579248,0,4376,0,574601,0,271,6,52439,396,3274131,296407,11046055
82,82,Estonia,2022-04-29,571917,292,2538,1,510350,608,59029,3,430609,1911,3324537,2503115,1328160
83,83,Bahrain,2022-04-29,568367,379,1475,0,563473,485,3419,3,314150,815,9718604,5371706,1809221
84,84,Venezuela,2022-04-29,522305,34,5708,1,515666,13,931,230,18463,202,3359014,118738,28289197
85,85,Moldova,2022-04-29,516986,0,11489,0,504142,0,1355,49,128703,2860,3216305,800696,4016887
86,86,Egypt,2022-04-29,515645,0,24613,0,442182,0,48850,122,4872,233,3693367,34893,105849163
87,87,Libya,2022-04-29,501904,0,6430,0,490973,0,4501,101,71278,913,2477219,351804,7041471
88,88,Ethiopia,2022-04-29,470550,35,7510,0,455380,88,7660,11,3916,63,4785267,39828,120148051
89,89,Cyprus,2022-04-29,470481,0,1011,0,124370,0,345100,60,384578,826,9477138,7746760,1223368
90,90,Mongolia,2022-04-29,469830,76,2179,2,313256,0,154395,192,139232,646,4030048,1194288,3374435
91,91,Honduras,2022-04-29,423179,0,10893,0,132318,0,279968,105,41523,1069,1263329,123959,10191498
92,92,Armenia,2022-04-29,422865,7,8622,0,411038,224,3205,0,142219,2900,3048431,1025258,2973331
93,93,Oman,2022-04-29,389126,0,4258,0,384243,0,625,4,72828,797,25000000,4678957,5343071
94,94,Bosnia and Herzegovina,2022-04-29,377087,44,15765,1,192218,0,169104,0,116254,4860,1758191,542040,3243655
95,95,Réunion,2022-04-29,374295,0,742,0,355605,0,17948,10,412696,818,1603660,1768190,906950
96,96,Qatar,2022-04-29,364560,62,677,0,363286,99,597,3,129838,241,3437848,1224390,2807805
97,97,Kenya,2022-04-29,323760,15,5649,0,317932,0,179,0,5789,101,3596467,64305,55927898
98,98,Zambia,2022-04-29,319594,0,3976,0,314690,0,928,0,16541,206,3423665,177197,19321198
99,99,North Macedonia,2022-04-29,309571,137,9280,2,299738,85,553,0,148602,4455,2018029,968708,2083218
100,100,Botswana,2022-04-29,305859,0,2688,0,303026,0,145,1,125450,1103,2026898,831348,2438087
101,101,Albania,2022-04-29,275055,53,3496,0,271185,90,374,2,95769,1217,1805355,628589,2872074
102,102,Algeria,2022-04-29,265779,3,6875,0,178355,2,80549,6,5868,152,230861,5097,45293023
103,103,Nigeria,2022-04-29,255716,0,3143,0,249896,0,2677,11,1187,15,5075820,23560,215441397
104,104,Zimbabwe,2022-04-29,247842,58,5469,0,241643,40,730,12,16245,358,2254801,147788,15256978
105,105,Uzbekistan,2022-04-29,238577,21,1637,0,236650,45,290,23,6945,48,1377915,40111,34352628
106,106,Luxembourg,2022-04-29,237856,608,1064,0,227197,1001,9595,3,369041,1651,4227288,6558765,644525
107,107,Montenegro,2022-04-29,235151,89,2714,0,231708,79,729,6,374319,4320,2451073,3901672,628211
108,108,Mozambique,2022-04-29,225383,4,2201,0,223113,0,69,13,6861,67,1312475,39954,32849499
109,109,Laos,2022-04-29,207196,315,743,3,7660,0,198793,0,27745,99,1232128,164991,7467841
110,110,Kyrgyzstan,2022-04-29,200992,0,2991,0,196400,0,1601,131,29909,445,1907195,283799,6720222
111,111,Iceland,2022-04-29,185579,0,119,0,75685,0,109775,0,537479,345,1953616,5658112,345277
112,112,Maldives,2022-04-29,179171,0,298,0,163687,0,15186,25,321163,534,2213831,3968285,557881
113,113,Afghanistan,2022-04-29,178873,23,7683,0,161883,34,9307,1124,4414,190,943950,23293,40524618
114,114,Uganda,2022-04-29,164069,0,3596,0,100205,0,60268,2,3392,74,2612795,54016,48370334
115,115,El Salvador,2022-04-29,162089,0,4128,0,150662,0,7299,8,24762,631,1950448,297968,6545820
116,116,Ghana,2022-04-29,161173,3,1445,0,159691,12,37,1,4997,45,2435846,75521,32253981
117,117,Namibia,2022-04-29,158649,104,4025,0,153662,0,962,0,60445,1534,1005918,383250,2624702
118,118,Martinique,2022-04-29,153253,0,926,0,104,0,152223,8,408964,2471,828928,2212038,374735
119,119,Trinidad and Tobago,2022-04-29,147450,508,3824,3,135209,236,8417,18,104742,2716,704554,500485,1407743
120,120,Brunei ,2022-04-29,141748,119,218,0,140711,136,819,0,318457,490,717784,1612603,445109
121,121,Guadeloupe,2022-04-29,140130,0,854,0,2250,0,137026,19,350107,2134,938039,2343639,400249
122,122,Cambodia,2022-04-29,136246,6,3056,0,133050,27,140,0,7949,178,2951847,172216,17140382
123,123,Jamaica,2022-04-29,129978,116,2962,7,83358,102,43658,0,43548,992,996159,333754,2984710
124,124,Rwanda,2022-04-29,129799,14,1458,0,45522,0,82819,0,9589,108,5261793,388704,13536758
125,125,Cameroon,2022-04-29,119780,0,1927,0,117791,0,62,13,4317,69,1751774,63130,27748889
126,126,Taiwan,2022-04-29,100753,12313,862,2,25975,575,73916,0,4216,36,14683203,614481,23895294
127,127,Angola,2022-04-29,99194,0,1900,0,97149,0,145,0,2856,55,1499795,43188,34727180
128,128,Malta,2022-04-29,91605,178,698,0,86759,403,4148,4,206464,1573,1879995,4237229,443685
129,129,DRC,2022-04-29,87023,0,1337,0,50930,0,34756,0,921,14,846704,8958,94517642
130,130,Senegal,2022-04-29,85995,1,1966,0,84013,2,16,0,4901,112,1068471,60891,17547203
131,131,Malawi,2022-04-29,85781,14,2634,0,82066,0,1081,67,4283,132,574139,28664,20029885
132,132,Ivory Coast,2022-04-29,81930,10,799,0,81097,7,34,0,2972,29,1500074,54415,27567496
133,133,French Guiana,2022-04-29,80859,0,395,0,11254,0,69210,2,258520,1263,627211,2005304,312776
134,134,Suriname,2022-04-29,79336,0,1328,0,49401,0,28607,0,133068,2227,235950,395752,596206
135,135,Channel Islands,2022-04-29,74383,32,169,0,73224,83,990,0,420761,956,1252808,7086740,176782
136,136,French Polynesia,2022-04-29,72720,0,648,0,0,0,0,7,256177,2283,0,0,283866
137,137,Eswatini,2022-04-29,70626,98,1397,0,68823,5,406,11,59749,1182,1014847,858553,1182044
138,138,Barbados,2022-04-29,69562,217,392,2,65085,0,4085,0,241521,1361,647492,2248111,288016
139,139,Fiji,2022-04-29,64634,0,862,0,62763,0,1009,0,71161,949,507722,558995,908277
140,140,Madagascar,2022-04-29,64152,0,1391,0,59370,0,3391,14,2213,48,422372,14571,28987021
141,141,Guyana,2022-04-29,63457,0,1228,0,62130,0,99,1,79975,1548,594884,749729,793465
142,142,Sudan,2022-04-29,62117,0,4931,0,0,0,0,0,1359,108,562941,12315,45713308
143,143,New Caledonia,2022-04-29,60517,0,312,0,60102,0,103,9,208322,1074,98964,340671,290497
144,144,Bhutan,2022-04-29,59054,178,21,1,57320,737,1713,2,75029,27,2296712,2918001,787084
145,145,Mauritania,2022-04-29,58687,1,982,0,57694,0,11,0,12045,202,803649,164947,4872155
146,146,Belize,2022-04-29,57497,6,676,0,56604,7,217,6,139973,1646,539513,1313409,410773
147,147,Cabo Verde,2022-04-29,56020,4,401,0,55551,1,68,23,98803,707,400982,707217,566986
148,148,Syria,2022-04-29,55813,3,3150,0,52159,11,504,0,3054,172,146269,8004,18274669
149,149,Gabon,2022-04-29,47602,0,304,0,47285,0,13,0,20506,131,1593622,686506,2321353
150,150,Papua New Guinea,2022-04-29,43800,0,649,0,43100,0,51,7,4732,70,249149,26919,9255648
151,151,Seychelles,2022-04-29,42474,0,166,0,41727,0,581,0,427063,1669,0,0,99456
152,152,Curaçao,2022-04-29,42241,275,274,1,41612,361,355,3,255518,1657,496693,3004525,165315
153,153,Andorra,2022-04-29,41349,0,153,0,40689,0,507,14,533604,1974,249838,3224132,77490
154,154,Burundi,2022-04-29,39998,204,38,0,773,0,39187,0,3191,3,345742,27581,12535422
155,155,Mauritius,2022-04-29,37642,28,990,0,35895,40,757,0,29509,776,358675,281179,1275612
156,156,Mayotte,2022-04-29,37363,325,187,0,2964,0,34212,0,131191,657,176919,621207,284799
157,157,Togo,2022-04-29,36985,0,273,0,36688,0,24,0,4285,32,729891,84556,8631993
158,158,Guinea,2022-04-29,36459,0,440,0,35976,0,43,8,2646,32,660107,47899,13781279
159,159,Aruba,2022-04-29,34846,257,212,0,34516,265,118,3,323872,1970,177885,1653329,107592
160,160,Faeroe Islands,2022-04-29,34658,0,28,0,7693,0,26937,5,704417,569,778000,15812687,49201
161,161,Tanzania,2022-04-29,33872,0,803,0,0,0,0,7,539,13,0,0,62831447
162,162,Bahamas,2022-04-29,33541,14,789,0,32351,9,401,11,83834,1972,229817,574416,400088
163,163,Lesotho,2022-04-29,32910,0,697,0,24155,0,8058,0,15144,321,431221,198428,2173182
164,164,Mali,2022-04-29,30815,11,732,1,29890,5,193,0,1446,34,666075,31253,21312610
165,165,Haiti,2022-04-29,30690,35,835,0,29520,41,335,0,2633,72,132422,11361,11655706
166,166,Isle of Man,2022-04-29,28416,0,87,0,26794,0,1535,0,330984,1013,150753,1755943,85853
167,167,Benin,2022-04-29,26952,0,163,0,25506,0,1283,5,2122,13,604310,47579,12701283
168,168,Somalia,2022-04-29,26485,0,1350,0,13182,0,11953,0,1586,81,400466,23979,16700401
169,169,Congo,2022-04-29,24079,0,385,0,20178,0,3516,0,4176,67,347815,60328,5765366
170,170,Saint Lucia,2022-04-29,23394,33,368,0,22815,13,211,0,126348,1988,143281,773839,185156
171,171,Timor-Leste,2022-04-29,22863,0,130,0,22722,0,11,0,16760,95,262493,192419,1364173
172,172,Cayman Islands,2022-04-29,22223,0,27,0,8553,0,13643,1,331054,402,222773,3318630,67128
173,173,Burkina Faso,2022-04-29,20853,0,382,0,20439,0,32,0,950,17,248995,11345,21946718
174,174,Nicaragua,2022-04-29,18491,0,225,0,4225,0,14041,0,2732,33,0,0,6768109
175,175,Gibraltar,2022-04-29,17837,131,102,0,16579,0,1156,0,529712,3029,534283,15866807,33673
176,176,South Sudan,2022-04-29,17461,5,138,0,13514,0,3809,1,1527,12,381528,33371,11432759
177,178,Liechtenstein,2022-04-29,17171,8,84,0,16970,22,117,1,448013,2192,102174,2665849,38327
178,179,San Marino,2022-04-29,16437,251,115,1,15960,258,362,4,482575,3376,149271,4382461,34061
179,180,Equatorial Guinea,2022-04-29,15907,0,183,0,15698,0,26,5,10698,123,310972,209144,1486879
180,181,Djibouti,2022-04-29,15611,0,189,0,15411,0,11,0,15393,186,303924,299678,1014167
181,182,Solomon Islands,2022-04-29,14786,0,141,0,13307,0,1338,2,20606,197,5117,7131,717551
182,183,CAR,2022-04-29,14649,0,113,0,6859,0,7677,2,2940,23,81294,16315,4982691
183,184,Grenada,2022-04-29,14629,0,220,0,14029,0,380,4,128921,1939,149943,1321398,113473
184,185,Bermuda,2022-04-29,13488,0,131,0,12981,0,376,0,218044,2118,876273,14165651,61859
185,186,Dominica,2022-04-29,12033,0,63,0,11929,0,41,0,166404,871,188110,2601366,72312
186,187,Gambia,2022-04-29,11995,0,365,0,11591,0,39,0,4722,144,155686,61287,2540260
187,188,Greenland,2022-04-29,11971,0,21,0,2761,0,9189,4,210206,369,164926,2896030,56949
188,189,Yemen,2022-04-29,11818,0,2149,0,9009,0,660,23,381,69,265253,8550,31022030
189,190,Monaco,2022-04-29,11762,26,54,0,11548,29,160,4,295907,1359,54960,1382676,39749
190,191,Saint Martin,2022-04-29,10462,0,63,0,1399,0,9000,7,262423,1580,112382,2818923,39867
191,192,Tonga,2022-04-29,10196,131,11,0,8923,87,1262,0,94515,102,454376,4211982,107877
192,193,Sint Maarten,2022-04-29,10036,0,86,0,9878,0,72,10,229326,1965,62056,1418002,43763
193,195,Caribbean Netherlands,2022-04-29,9729,16,34,0,9619,29,76,0,364833,1275,30126,1129711,26667
194,196,Samoa,2022-04-29,9592,597,19,3,1605,0,7968,4,47765,95,65949,328405,200816
195,197,Niger,2022-04-29,8928,4,309,0,8518,0,101,1,346,12,250056,9692,25801341
196,198,Guinea-Bissau,2022-04-29,8202,12,171,0,7528,0,503,6,3996,83,134285,65419,2052687
197,199,Comoros,2022-04-29,8100,0,160,0,7933,0,7,0,8967,177,0,0,903330
198,200,Sierra Leone,2022-04-29,7681,0,125,0,0,0,0,0,929,15,259958,31425,8272367
199,201,Antigua and Barbuda,2022-04-29,7626,22,136,0,7443,9,47,1,76716,1368,18901,190139,99406
200,202,Liberia,2022-04-29,7434,0,294,0,5747,0,1393,2,1410,56,139824,26511,5274114
201,203,Chad,2022-04-29,7411,0,193,0,4874,0,2344,0,429,11,191341,11070,17283865
202,204,Vanuatu,2022-04-29,7330,185,13,0,6726,101,591,3,22891,41,24976,77998,320213
203,205,St. Vincent Grenadines,2022-04-29,6784,0,106,0,6641,0,37,0,60798,950,98908,886415,111582
204,206,British Virgin Islands,2022-04-29,6355,0,62,0,0,0,0,1,207693,2026,103049,3367834,30598
205,207,Turks and Caicos,2022-04-29,5963,0,36,0,5862,0,65,4,150311,907,488787,12321015,39671
206,208,Sao Tome and Principe,2022-04-29,5957,0,73,0,5880,0,4,0,26292,322,29036,128155,226570
207,209,Saint Kitts and Nevis,2022-04-29,5562,0,43,0,5518,0,1,0,103222,798,65141,1208912,53884
208,210,Cook Islands,2022-04-29,5031,41,1,0,4733,118,297,0,285966,57,16607,943955,17593
209,211,Palau,2022-04-29,4610,124,6,0,3984,71,620,1,252589,329,46016,2521287,18251
210,212,St. Barth,2022-04-29,4544,0,6,0,0,0,0,0,457511,604,78646,7918445,9932
211,213,Kiribati,2022-04-29,3081,1,13,0,2601,2,467,3,25092,106,0,0,122787
212,214,Anguilla,2022-04-29,2788,0,9,0,2766,0,13,4,182856,590,51382,3369974,15247
213,215,Saint Pierre Miquelon,2022-04-29,2701,60,1,0,2449,0,251,1,470394,174,23446,4083246,5742
214,217,Wallis and Futuna,2022-04-29,454,0,7,0,438,0,9,0,41724,643,20508,1884753,10881
215,218,Montserrat,2022-04-29,216,0,2,0,175,0,39,0,43226,400,9908,1982790,4997
216,219,Falkland Islands,2022-04-29,128,0,0,0,0,0,0,0,34934,0,8632,2355895,3664
217,222,Marshall Islands,2022-04-29,17,0,0,0,14,7,3,0,284,0,0,0,59918
218,225,Niue,2022-04-29,9,1,0,0,7,0,2,0,5468,0,0,0,1646
219,226,Nauru,2022-04-29,4,0,0,0,3,0,1,0,365,0,0,0,10948
220,227,Micronesia,2022-04-29,3,0,0,0,1,0,2,0,26,0,0,0,117219
