,#,"Country,Other",Date,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population
0, ,World,2022-04-29,512804816,583257,6259009,2327,466654625,739998,39891182,41347,65788,803,6276588027,406408147,7881946784
1,1,China,2022-04-29,214243,5659,4975,52,180951,2796,28317,417,149,3,160000000,111163,1439323776
2,2,USA,2022-04-29,83037059,62993,1020660,263,80655685,32282,1360714,1562,248214,3051,1005251244,3004892,334538223
3,3,India,2022-04-29,43075864,3378,523803,50,42533377,2755,18684,698,30665,373,836945383,595810,1404717429
4,4,Brazil,2022-04-29,30433042,14122,663484,195,29507557,8135,262001,8318,141344,3082,63776166,296204,215311673
5,5,France,2022-04-29,28595803,52919,145869,158,26694010,141558,1755924,1677,436333,2226,266484045,4066187,65536600
6,6,Germany,2022-04-29,24704597,96523,135794,186,22227600,139300,2341203,1446,293153,1611,122332384,1451639,84271929
7,7,UK,2022-04-29,22038340,7332,174912,216,21168418,37580,695010,302,321561,2552,517337635,7548453,68535581
8,8,Russia,2022-04-29,18174991,7710,375727,161,17528963,11041,270301,2300,124445,2573,273400000,1871982,146048440
9,9,S. Korea,2022-04-29,17194616,50551,22724,136,0,0,0,526,334854,443,15804065,307774,51349553
10,10,Italy,2022-04-29,16409183,58861,163377,133,14998689,60951,1247117,371,272126,2709,213390610,3538822,60299895
11,11,Turkey,2022-04-29,15030321,1924,98760,9,14936277,8302,-4716,975,174787,1148,158905150,1847905,85992077
12,12,Spain,2022-04-29,11896152,20899,104456,77,11389694,14081,402002,339,254258,2233,471036328,10067511,46787764
13,13,Vietnam,2022-04-29,10644700,6068,43038,1,9245528,3225,1356134,594,107594,435,85796776,867213,98933864
14,14,Argentina,2022-04-29,9072230,0,128542,0,8895999,0,47689,372,197432,2797,35716069,777261,45951194
15,15,Netherlands,2022-04-29,8047132,1679,22243,4,7811568,27781,213321,66,467750,1293,21107399,1226894,17203931
16,16,Japan,2022-04-29,7813849,42313,29506,39,7356289,36932,428054,173,62127,235,48589480,386332,125771286
17,17,Iran,2022-04-29,7221121,719,141072,14,6980483,2723,99566,1076,84014,1641,50914586,592367,85951036
18,18,Colombia,2022-04-29,6092403,236,139793,4,5926016,188,26594,342,117454,2695,34465052,664441,51870736
19,19,Indonesia,2022-04-29,6046467,395,156240,23,5882062,572,8165,2771,21688,560,95495775,342534,278791850
20,20,Poland,2022-04-29,5995672,855,116042,20,5334619,61,545011,1321,158737,3072,36092285,955553,37771112
21,21,Australia,2022-04-29,5889048,41696,7189,26,5553745,44688,328114,137,226165,276,69260340,2659892,26038778
22,22,Mexico,2022-04-29,5737811,1232,324254,33,5037473,781,376084,4798,43667,2468,15794055,120198,131400125
23,23,Ukraine,2022-04-29,5001719,680,108391,11,0,0,0,177,115633,2506,19521252,451303,43255264
24,24,Malaysia,2022-04-29,4445897,2579,35542,6,4360061,6055,50294,78,134231,1073,58674831,1771514,33121289
25,25,Thailand,2022-04-29,4238061,14053,28403,129,4053751,16782,155907,1496,60441,405,17270775,246307,70119008
26,26,Austria,2022-04-29,4135344,6186,18138,21,4034609,7765,82597,99,454433,1993,182842386,20092561,9100004
27,27,Israel,2022-04-29,4074119,2628,10695,0,4038393,4921,25031,220,436856,1147,41373364,4436346,9326000
28,28,Belgium,2022-04-29,4056448,0,31439,0,3788380,19596,236629,150,347254,2691,33531891,2870513,11681499
29,29,Czechia,2022-04-29,3903665,1556,40147,10,3845021,1091,18497,33,363295,3736,55186195,5135908,10745169
30,30,Portugal,2022-04-29,3853800,12588,22280,11,0,0,0,61,379963,2197,41218424,4063908,10142559
31,31,South Africa,2022-04-29,3785398,4954,100360,5,3646241,5670,38797,192,62393,1654,24454151,403064,60670648
32,32,Canada,2022-04-29,3746284,5165,39230,53,3451808,3478,255246,468,97700,1023,60871310,1587468,38344917
33,33,Philippines,2022-04-29,3685403,184,60305,38,3616709,1339,8389,289,32836,537,29541239,263203,112237488
34,34,Switzerland,2022-04-29,3602489,0,13859,2,3459053,32263,129577,87,410778,1580,20767523,2368043,8769910
35,35,Peru,2022-04-29,3564558,629,212810,12,0,0,0,302,105434,6295,29813461,881836,33808382
36,36,Chile,2022-04-29,3556333,2377,57509,14,3406930,5899,91894,231,183174,2962,36955800,1903457,19415094
37,37,Greece,2022-04-29,3317425,7463,29114,41,3209096,13593,79215,244,321134,2818,79660677,7711338,10330331
38,38,Denmark,2022-04-29,2965204,867,6149,14,2940457,1349,18598,13,508668,1055,127207133,21821816,5829356
39,39,Romania,2022-04-29,2892989,1016,65478,7,2606660,0,220851,200,152231,3445,22684309,1193661,19003982
40,40,Sweden,2022-04-29,2500917,0,18739,0,2468078,0,14100,21,244853,1835,18513445,1812561,10213973
41,41,Iraq,2022-04-29,2324982,135,25211,2,2297546,243,2225,21,55534,602,18474304,441273,41865898
42,42,Serbia,2022-04-29,2005832,760,15984,4,1972747,0,17101,26,231266,1843,9481282,1093161,8673273
43,43,Bangladesh,2022-04-29,1952674,30,29127,0,1895146,326,28401,1297,11645,174,13987528,83419,167677969
44,44,Hungary,2022-04-29,1901017,1384,46201,12,1804295,2482,50521,41,197700,4805,11339446,1179267,9615674
45,45,Slovakia,2022-04-29,1780022,926,19891,12,1742391,2471,17740,70,325745,3640,7084258,1296424,5464459
46,46,Jordan,2022-04-29,1694216,0,14048,0,1678941,0,1227,124,163099,1352,16670254,1604818,10387632
47,47,Georgia,2022-04-29,1654945,148,16807,2,1636800,280,1338,0,416315,4228,16885842,4247775,3975220
48,48,Pakistan,2022-04-29,1528347,75,30371,0,1494141,0,3835,138,6683,133,28137765,123032,228702716
49,49,Ireland,2022-04-29,1517112,959,7087,11,1447106,5348,62919,39,301119,1407,12063637,2394410,5038250
50,50,Norway,2022-04-29,1425809,345,2932,0,0,0,0,20,259311,533,11002430,2001004,5498456
51,51,Kazakhstan,2022-04-29,1305521,17,13660,0,1291055,11,806,24,68046,712,11575012,603312,19185784
52,52,Hong Kong,2022-04-29,1203847,366,9298,11,0,0,0,115,158239,1222,44972952,5911450,7607770
53,53,Singapore,2022-04-29,1195767,2517,1334,0,1130012,5769,64421,6,201506,225,23712995,3996022,5934151
54,54,Morocco,2022-04-29,1164907,42,16069,0,1148436,30,402,293,30893,426,11237010,298005,37707412
55,55,Bulgaria,2022-04-29,1156466,491,36911,10,978104,3919,141451,82,168749,5386,9843550,1436345,6853191
56,56,Croatia,2022-04-29,1121662,896,15822,5,1099822,962,6018,24,276328,3898,4783774,1178513,4059162
57,57,Cuba,2022-04-29,1102750,191,8526,1,1093247,221,977,23,97468,754,12920253,1141968,11314024
58,58,Lebanon,2022-04-29,1096854,91,10384,2,1081392,361,5078,186,162022,1534,4795578,708380,6769778
