,#,"Country,Other",Date,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population
0, ,World,2022-04-28,511445739,672920,6253340,2725,464994388,919156,40198011,41998,65614,802.2,6266820208,405535427,7881742796
1,1,China,2022-04-28,207081,1824,4876,48,175431,3728,26774,318,144,3.0,160000000,111163,1439323776
2,2,USA,2022-04-28,82899076,60181,1019912,330,80593253,39590,1285911,1520,247805,3049.0,1003322959,2999175,334532930
3,3,India,2022-04-28,43068799,3133,523693,39,42528126,2563,16980,698,30661,373.0,835974079,595135,1404680388
4,4,Brazil,2022-04-28,30399004,20943,663165,224,29480998,69185,254841,8318,141189,3080.0,63776166,296210,215307551
5,5,France,2022-04-28,28483124,67711,145579,152,26403836,158622,1933709,1677,434617,2221.0,266484045,4066211,65536206
6,6,Germany,2022-04-28,24488242,124863,135369,245,21885900,220700,2466973,1980,290589,1606.0,122332384,1451651,84271199
7,7,UK,2022-04-28,22017678,13448,174448,304,21082567,54231,760663,326,321264,2545.0,516589623,7537646,68534608
8,8,Russia,2022-04-28,18159600,7705,375400,163,17506859,11477,277341,2300,124340,2570.0,273400000,1871984,146048270
9,9,S. Korea,2022-04-28,17086626,76761,22466,141,0,0,0,546,332752,438.0,15804065,307775,51349433
10,10,Italy,2022-04-28,16280584,88770,163113,186,14881965,88545,1235506,394,269992,2705.0,212567845,3525164,60300137
11,11,Turkey,2022-04-28,15026141,2479,98736,16,14916782,13362,10623,975,174744,1148.0,158642802,1844907,85989599
12,12,Spain,2022-04-28,11833457,0,104227,0,11347449,0,381781,339,252918,2228.0,471036328,10067522,46787714
13,13,Vietnam,2022-04-28,10631516,8004,43034,5,9163132,46907,1425350,624,107463,435.0,85792898,867195,98931474
14,14,Argentina,2022-04-28,9072230,0,128542,0,8895999,0,47689,372,197437,2797.0,35716069,777280,45950062
15,15,Netherlands,2022-04-28,8044208,1739,22237,3,7731651,0,290320,77,467582,1293.0,21107399,1226901,17203828
16,16,Japan,2022-04-28,7725765,37258,29402,58,7263359,40195,433004,183,61427,234.0,46888808,372807,125772339
17,17,Iran,2022-04-28,7219433,1009,141041,17,6975147,2861,103245,1043,83998,1641.0,50914586,592388,85948099
18,18,Colombia,2022-04-28,6091959,206,139785,2,5925634,244,26540,342,117448,2695.0,34428355,663753,51869255
19,19,Indonesia,2022-04-28,6045660,617,156199,36,5880319,1178,9142,2771,21686,560.0,95279624,341769,278783952
20,20,Poland,2022-04-28,5993860,1040,115998,21,5334501,62,543361,1321,158689,3071.0,36064312,954809,37771225
21,21,Australia,2022-04-28,5801214,44737,7113,44,5458416,55440,335685,144,222798,273.0,69056844,2652159,26037970
22,22,Mexico,2022-04-28,5735115,1190,324173,39,5035685,776,375257,4798,43647,2467.0,15777764,120078,131396426
23,23,Ukraine,2022-04-28,4999984,812,108359,16,0,0,0,177,115591,2505.0,19521252,451296,43255978
24,24,Malaysia,2022-04-28,4440383,3471,35526,6,4346421,6900,58436,98,134069,1073.0,58544609,1767643,33120156
25,25,Thailand,2022-04-28,4209571,14887,28147,125,4018460,18919,162964,1496,60035,401.0,17270775,246308,70118531
26,26,Austria,2022-04-28,4122797,8239,18100,24,4018417,10412,86280,111,453061,1989.0,182416398,20046058,9099864
27,27,Israel,2022-04-28,4067687,1666,10695,1,4029571,2699,27421,220,436166,1147.0,41373364,4436346,9326000
28,28,Belgium,2022-04-28,4036113,0,31382,0,3759867,0,244864,156,345517,2687.0,33531891,2870547,11681361
