,#,"Country,Other",Date,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population
0, ,World,2022-04-27,511415822,657640,6253121,2694,464931738,860232,40230963,41998,65610,802.2,6266820207,405541880,7881538806
1,1,China,2022-04-27,207081,1824,4876,48,175431,3728,26774,318,144,3.0,160000000,111163,1439323776
2,2,USA,2022-04-27,82888247,57738,1019774,311,80585919,36051,1282554,1520,247777,3048.0,1003322959,2999223,334527637
3,3,India,2022-04-27,43068799,3133,523693,39,42528126,2563,16980,698,30662,373.0,835974079,595150,1404643348
4,4,Brazil,2022-04-27,30399004,20943,663165,224,29480998,69185,254841,8318,141191,3080.0,63776166,296215,215303429
5,5,France,2022-04-27,28483124,67711,145579,152,26403836,158622,1933709,1677,434619,2221.0,266484045,4066235,65535813
6,6,Germany,2022-04-27,24488242,124863,135369,245,21885900,220700,2466973,1980,290591,1606.0,122332384,1451664,84270469
7,7,UK,2022-04-27,22011920,9054,174448,304,21082567,54231,754905,326,321184,2545.0,516589623,7537753,68533636
8,8,Russia,2022-04-27,18159600,7705,375400,163,17506859,11477,277341,2300,124340,2570.0,273400000,1871986,146048100
9,9,S. Korea,2022-04-27,17086626,76761,22466,141,0,0,0,546,332753,438.0,15804065,307776,51349313
10,10,Italy,2022-04-27,16279754,87940,163113,186,14881965,88545,1234676,394,269978,2705.0,212567845,3525149,60300379
11,11,Turkey,2022-04-27,15026141,2479,98736,16,14916782,13362,10623,975,174749,1148.0,158642802,1844960,85987121
12,12,Spain,2022-04-27,11833457,0,104227,0,11347449,0,381781,339,252918,2228.0,471036328,10067532,46787665
13,13,Vietnam,2022-04-27,10631516,8004,43034,5,9163132,46907,1425350,624,107466,435.0,85792898,867216,98929083
14,14,Argentina,2022-04-27,9072230,0,128542,0,8895999,0,47689,372,197442,2797.0,35716069,777299,45948930
15,15,Netherlands,2022-04-27,8042469,0,22234,0,7731651,0,288584,77,467484,1292.0,21107399,1226909,17203724
16,16,Japan,2022-04-27,7725765,37258,29402,58,7263359,40195,433004,183,61426,234.0,46888808,372804,125773392
17,17,Iran,2022-04-27,7219433,1009,141041,17,6975147,2861,103245,1043,84000,1641.0,50914586,592408,85945161
18,18,Colombia,2022-04-27,6091959,206,139785,2,5925634,244,26540,342,117452,2695.0,34428355,663772,51867774
19,19,Indonesia,2022-04-27,6045660,617,156199,36,5880319,1178,9142,2771,21686,560.0,95279624,341778,278776055
20,20,Poland,2022-04-27,5993861,1041,115998,21,5334513,74,543350,1321,158688,3071.0,36064312,954806,37771338
21,21,Australia,2022-04-27,5796177,39700,7112,43,5402976,0,386089,144,222612,273.0,69056844,2652242,26037162
22,22,Mexico,2022-04-27,5735115,1190,324173,39,5035685,776,375257,4798,43649,2467.0,15777764,120081,131392727
23,23,Ukraine,2022-04-27,4999984,812,108359,16,0,0,0,177,115589,2505.0,19521252,451289,43256693
24,24,Malaysia,2022-04-27,4440383,3471,35526,6,4346421,6900,58436,98,134073,1073.0,58544609,1767703,33119023
25,25,Thailand,2022-04-27,4209571,14887,28147,125,4018460,18919,162964,1496,60035,401.0,17270775,246310,70118054
26,26,Austria,2022-04-27,4122797,8239,18100,24,4018417,10412,86280,111,453068,1989.0,182416398,20046368,9099723
27,27,Israel,2022-04-27,4067687,1666,10695,1,4029571,2699,27421,220,436166,1147.0,41373364,4436346,9326000
28,28,Belgium,2022-04-27,4036113,0,31382,0,3759867,0,244864,156,345521,2687.0,33531891,2870580,11681224
29,29,Czechia,2022-04-27,3900444,2035,40114,4,3842986,1117,17344,42,362999,3733.0,55157290,5133269,10745061
30,30,Portugal,2022-04-27,3791744,0,22162,0,0,0,0,61,373839,2185.0,41113089,4053458,10142721
31,31,South Africa,2022-04-27,3776298,6371,100351,3,3638087,2658,37860,175,62247,1654.0,24400471,402206,60666562
32,32,Canada,2022-04-27,3725773,11646,39007,106,3444570,4077,242196,471,97169,1017.0,60778047,1585110,38343111
33,33,Philippines,2022-04-27,3685029,195,60215,20,3614238,1178,10576,289,32835,537.0,29495310,262812,112229517
34,34,Switzerland,2022-04-27,3602489,0,13836,0,3419641,0,169012,87,410795,1578.0,20767523,2368136,8769564
35,35,Peru,2022-04-27,3563151,851,212778,9,0,0,0,350,105400,6294.0,29738803,879693,33805871
36,36,Chile,2022-04-27,3551383,2056,57468,81,3397673,4452,96242,255,182927,2960.0,36856295,1898420,19414199
37,37,Greece,2022-04-27,3302382,11487,29022,46,3195503,8180,77857,267,319670,2809.0,79332875,7679400,10330608
38,38,Denmark,2022-04-27,2963337,1099,6125,9,2937000,2107,20212,13,508357,1051.0,127185788,21818570,5829245
39,39,Romania,2022-04-27,2890827,1464,65456,26,2606660,0,218711,212,152111,3444.0,22641009,1191339,19004679
40,40,Sweden,2022-04-27,2498388,0,18656,0,2466329,757,13403,19,244613,1827.0,18493218,1810641,10213629
41,41,Iraq,2022-04-27,2324699,168,25208,0,2297063,239,2428,20,55534,602.0,18466576,441141,41860954
42,42,Serbia,2022-04-27,2004255,921,15976,7,1972747,951,15532,26,231079,1842.0,9461757,1090885,8673465
43,43,Bangladesh,2022-04-27,1952625,23,29127,0,1894457,334,29041,1297,11646,174.0,13978152,83368,167669010
44,44,Hungary,2022-04-27,1897897,2220,46162,29,1797144,4528,54591,38,197373,4801.0,11324260,1177671,9615808
45,45,Slovakia,2022-04-27,1777971,1395,19873,11,1737255,2528,20843,70,325371,3637.0,7074245,1294596,5464444
46,46,Jordan,2022-04-27,1694216,0,14048,0,1678941,0,1227,124,163108,1352.0,16670254,1604903,10387079
47,47,Georgia,2022-04-27,1654665,290,16802,2,1636188,80,1675,0,416240,4227.0,16840700,4236375,3975262
48,48,Pakistan,2022-04-27,1528178,117,30371,2,1494141,0,3666,145,6683,133.0,28102380,122890,228679239
49,49,Ireland,2022-04-27,1515005,970,7054,26,1435849,5251,72102,38,300719,1400.0,12049432,2391734,5037948
50,50,Norway,2022-04-27,1425079,407,2932,0,0,0,0,20,259189,533.0,11002430,2001088,5498225
51,51,Kazakhstan,2022-04-27,1305489,16,13660,0,1291030,21,799,24,68049,712.0,11575012,603350,19184557
52,52,Hong Kong,2022-04-27,1203068,430,9282,8,0,0,0,115,158144,1220.0,44972952,5911708,7607438
53,53,Singapore,2022-04-27,1190560,2646,1334,1,1120059,2115,69167,8,200637,225.0,23712995,3996191,5933900
54,54,Morocco,2022-04-27,1164825,51,16068,2,1148348,38,409,293,30893,426.0,11237010,298024,37705022
55,55,Bulgaria,2022-04-27,1155387,741,36887,8,970592,5349,147908,97,168584,5382.0,9825462,1433647,6853476
56,56,Croatia,2022-04-27,1119916,1390,15808,7,1098860,264,5248,24,275889,3894.0,4776342,1176642,4059300
57,57,Cuba,2022-04-27,1102355,191,8525,0,1092750,229,1080,23,97432,753.0,12920253,1141964,11314061
58,58,Lebanon,2022-04-27,1096648,118,10381,1,1080710,309,5557,186,161988,1533.0,4795578,708363,6769944
59,59,Lithuania,2022-04-27,1056495,838,9080,2,1020450,1274,26965,25,398176,3422.0,8232789,3102803,2653339
60,60,Tunisia,2022-04-27,1040193,0,28550,0,0,0,0,29,86372,2371.0,4572976,379714,12043196
61,61,Slovenia,2022-04-27,1007538,1135,6586,1,986126,1617,14826,29,484520,3167.0,2643588,1271288,2079457
62,62,Finland,2022-04-27,1000472,0,3638,0,46000,0,950834,31,180059,655.0,10644579,1915750,5556351
63,63,Nepal,2022-04-27,978778,8,11951,0,966575,17,252,0,32530,397.0,5628577,187069,30088276
64,64,Belarus,2022-04-27,978773,656,6936,5,928536,0,43301,0,103643,734.0,13123162,1389624,9443679
65,65,New Zealand,2022-04-27,906397,9902,671,22,850135,11272,55591,0,181203,134.0,6989903,1397394,5002100
66,66,Bolivia,2022-04-27,904657,81,21909,1,856941,610,25807,220,75627,1832.0,2699040,225632,11962157
67,67,UAE,2022-04-27,897770,212,2302,0,880814,333,14654,0,88823,228.0,155155472,15350679,10107401
68,68,Uruguay,2022-04-27,895775,0,7197,0,886654,0,1924,18,256258,2059.0,6091188,1742534,3495593
69,69,Ecuador,2022-04-27,868285,0,35581,0,0,0,0,759,47893,1963.0,2470170,136251,18129511
70,70,Costa Rica,2022-04-27,852074,0,8405,0,832853,0,10816,45,164538,1623.0,4291131,828629,5178594
71,71,Guatemala,2022-04-27,844059,790,17538,4,824207,804,2314,5,45582,947.0,4435442,239530,18517255
72,72,Latvia,2022-04-27,818644,614,5766,11,805376,1131,7502,11,442908,3120.0,7166055,3877022,1848340
73,73,Azerbaijan,2022-04-27,792521,19,9707,0,782675,25,139,0,76905,942.0,6801484,660009,10305142
74,74,Panama,2022-04-27,773675,845,8183,0,760875,236,4617,8,174326,1844.0,5850865,1318328,4438096
75,75,Saudi Arabia,2022-04-27,753730,98,9084,2,741235,177,3411,43,21055,254.0,41860482,1169342,35798322
76,76,Sri Lanka,2022-04-27,663239,0,16503,0,646115,5,621,0,30739,765.0,6486117,300613,21576302
77,77,Paraguay,2022-04-27,649034,0,18795,0,624673,0,5566,5,89011,2578.0,2623300,359768,7291636
78,78,Kuwait,2022-04-27,631409,0,2555,0,628090,0,764,8,143985,583.0,8007805,1826077,4385251
79,79,Myanmar,2022-04-27,612802,17,19434,0,591740,25,1628,0,11127,353.0,7924721,143897,55072219
80,80,Palestine,2022-04-27,581940,0,5353,0,576242,0,345,17,109456,1007.0,3078533,579033,5316680
81,81,Dominican Republic,2022-04-27,579248,134,4376,0,574601,155,271,6,52442,396.0,3274131,296423,11045461
82,82,Estonia,2022-04-27,571300,370,2533,0,509035,876,59732,2,430146,1907.0,3319801,2499558,1328155
83,83,Bahrain,2022-04-27,567614,441,1475,0,562563,423,3576,3,313790,815.0,9711519,5368755,1808896
84,84,Venezuela,2022-04-27,522263,20,5706,0,515639,18,918,230,18461,202.0,3359014,118737,28289635
85,85,Moldova,2022-04-27,516986,0,11489,0,504142,0,1355,49,128702,2860.0,3216305,800686,4016938
86,86,Egypt,2022-04-27,515645,0,24613,0,442182,0,48850,122,4872,233.0,3693367,34896,105838600
87,87,Libya,2022-04-27,501904,0,6430,0,490973,0,4501,101,71283,913.0,2477219,351830,7040960
88,88,Ethiopia,2022-04-27,470492,24,7510,0,455159,120,7823,15,3916,63.0,4777158,39766,120132443
89,89,Cyprus,2022-04-27,470481,0,1011,0,124370,0,345100,60,384593,826.0,9477138,7747057,1223321
