,#,"Country,Other",Date,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population
0, ,World,2022-04-30,513234106,423445,6260513,1365,467158100,512126,39815493,41123,65843,803.2,6279013898,406556521,7882150771
1,1,China,2022-04-30,215667,1424,5022,47,184078,3127,26567,458,150,3.0,160000000,111163,1439323776
2,2,USA,2022-04-30,83066907,24751,1020833,115,80684899,29374,1361175,1576,248299,3051.0,1005438148,3005403,334543517
3,3,India,2022-04-30,43079188,3324,523843,40,42536253,2876,19092,698,30667,373.0,837442023,596148,1404754469
4,4,Brazil,2022-04-30,30448236,15194,663551,67,29519204,11647,265481,8318,141412,3082.0,63776166,296198,215315795
5,5,France,2022-04-30,28645285,49482,145930,61,26801506,107496,1697849,1677,437086,2227.0,266484045,4066162,65536993
6,6,Germany,2022-04-30,24761600,57003,135900,106,22307900,80300,2317800,1446,293827,1613.0,122332384,1451626,84272659
7,7,UK,2022-04-30,22038340,0,174912,0,21168267,0,695161,302,321556,2552.0,517337635,7548346,68536553
8,8,Russia,2022-04-30,18182354,7363,375884,157,17539985,11022,266485,2300,124495,2574.0,273400000,1871979,146048611
9,9,S. Korea,2022-04-30,17237878,43262,22794,70,0,0,0,490,335696,444.0,15804065,307773,51349673
10,10,Italy,2022-04-30,16463200,53602,163507,130,15070314,71625,1229379,366,273023,2712.0,213773683,3545189,60299653
11,11,Turkey,2022-04-30,15032093,1772,98771,11,14927975,0,5347,975,174803,1149.0,159024414,1849238,85994556
12,12,Spain,2022-04-30,11896152,0,104456,0,11389694,0,402002,339,254257,2233.0,471036328,10067500,46787813
13,13,Vietnam,2022-04-30,10649809,5109,43041,3,9262255,16727,1344513,475,107643,435.0,85798077,867206,98936255
14,14,Argentina,2022-04-30,9072230,0,128542,0,8895999,0,47689,372,197427,2797.0,35716069,777242,45952326
15,15,Netherlands,2022-04-30,8047132,0,22243,0,7811564,0,213325,66,467747,1293.0,21107399,1226887,17204034
16,16,Japan,2022-04-30,7850252,36403,29548,42,7402570,46281,418134,171,62417,235.0,48679214,387049,125770233
17,17,Iran,2022-04-30,7221653,532,141083,11,6983502,3019,97068,996,84018,1641.0,50914586,592347,85953973
18,18,Colombia,2022-04-30,6092667,264,139797,4,5926476,460,26394,342,117455,2695.0,34465052,664422,51872217
19,19,Indonesia,2022-04-30,6046796,329,156257,17,5882660,598,7879,2771,21689,560.0,95495775,342525,278799748
20,20,Poland,2022-04-30,5996514,842,116059,17,5334680,61,545775,1321,158760,3073.0,36092285,955555,37770999
21,21,Australia,2022-04-30,5928306,39258,7223,34,5591247,37502,329836,139,227665,277.0,69334180,2662645,26039586
22,22,Mexico,2022-04-30,5738769,958,324294,40,5038150,677,376325,4798,43673,2468.0,15801675,120253,131403824
23,23,Ukraine,2022-04-30,5001719,0,108391,0,0,0,0,177,115635,2506.0,19521252,451311,43254550
24,24,Malaysia,2022-04-30,4448004,2107,35547,5,4366951,6890,45506,69,134290,1073.0,58730151,1773124,33122422
25,25,Thailand,2022-04-30,4250949,12888,28529,126,4070856,17105,151564,1496,60624,407.0,17270775,246305,70119486
26,26,Austria,2022-04-30,4140543,5199,18156,18,4042540,7931,79847,87,454998,1995.0,183002443,20109840,9100144
27,27,Israel,2022-04-30,4076111,1992,10695,0,4042243,3850,23173,220,437070,1147.0,41373364,4436346,9326000
28,28,Belgium,2022-04-30,4056448,0,31439,0,3788323,0,236686,150,347250,2691.0,33531891,2870479,11681636
29,29,Czechia,2022-04-30,3905100,1433,40155,8,3849182,4350,15763,29,363427,3737.0,55199677,5137136,10745223
30,30,Portugal,2022-04-30,3853800,0,22280,0,0,0,0,61,379966,2197.0,41278379,4069851,10142478
31,31,South Africa,2022-04-30,3791925,6527,100363,3,3648831,2590,42731,192,62498,1654.0,24475485,403402,60672691
32,32,Canada,2022-04-30,3749083,2799,39243,13,3454966,3158,254874,468,97770,1023.0,60871310,1587430,38345820
33,33,Philippines,2022-04-30,3685643,240,60341,36,3618137,1428,7165,289,32837,538.0,29565513,263410,112241473
34,34,Switzerland,2022-04-30,3602489,0,13859,0,3459053,0,129577,87,410770,1580.0,20767523,2367996,8770082
35,35,Peru,2022-04-30,3564558,0,212810,0,0,0,0,324,105430,6294.0,29813461,881804,33809637
36,36,Chile,2022-04-30,3558631,2298,57527,18,3413427,6497,87677,221,183288,2963.0,37001758,1905780,19415542
37,37,Greece,2022-04-30,3323922,6497,29153,39,3212923,3827,81846,239,321768,2822.0,79829956,7727828,10330193
38,38,Denmark,2022-04-30,2966047,843,6158,9,2941761,1304,18128,13,508807,1056.0,127218115,21823490,5829412
39,39,Romania,2022-04-30,2893876,887,65486,8,2606660,0,221730,198,152280,3446.0,22702071,1194617,19003633
40,40,Sweden,2022-04-30,2500917,0,18739,0,2469149,1071,13029,21,244848,1835.0,18513445,1812530,10214145
41,41,Iraq,2022-04-30,2325092,110,25211,0,2297747,201,2134,20,55533,602.0,18478198,441340,41868370
42,42,Serbia,2022-04-30,2006353,521,15991,7,1975636,2889,14726,23,231328,1844.0,9487930,1093939,8673178
43,43,Bangladesh,2022-04-30,1952691,17,29127,0,1895404,258,28160,1297,11645,174.0,13990466,83434,167682449
44,44,Hungary,2022-04-30,1901017,0,46201,0,1804295,0,50521,41,197701,4805.0,11339446,1179275,9615608
45,45,Slovakia,2022-04-30,1780955,933,19905,14,1743306,915,17744,70,325916,3643.0,7088924,1297277,5464466
46,46,Jordan,2022-04-30,1694216,0,14048,0,1678941,0,1227,124,163095,1352.0,16670254,1604775,10387908
47,47,Georgia,2022-04-30,1655098,153,16807,0,1637037,237,1254,0,416356,4228.0,16908154,4253410,3975200
48,48,Pakistan,2022-04-30,1528412,65,30371,0,1494141,0,3900,131,6683,133.0,28156480,123108,228714454
49,49,Ireland,2022-04-30,1517112,0,7087,0,1452338,5232,57687,37,301110,1407.0,12063637,2394339,5038400
50,50,Norway,2022-04-30,1426013,204,2932,0,0,0,0,20,259342,533.0,11002430,2000961,5498572
51,51,Kazakhstan,2022-04-30,1305533,12,13660,0,1291066,11,807,24,68045,712.0,11575012,603293,19186398
52,52,Hong Kong,2022-04-30,1204210,363,9308,10,0,0,0,115,158283,1223.0,44972952,5911321,7607936
53,53,Singapore,2022-04-30,1197908,2141,1335,1,1132574,2562,63999,6,201863,225.0,23712995,3995937,5934277
54,54,Morocco,2022-04-30,1164953,46,16069,0,1148474,38,410,293,30894,426.0,11237010,297996,37708607
55,55,Bulgaria,2022-04-30,1156729,263,36913,2,978145,41,141671,82,168790,5386.0,9848912,1437158,6853049
56,56,Croatia,2022-04-30,1122459,797,15828,6,1100854,1032,5777,24,276530,3899.0,4786857,1179292,4059093
57,57,Cuba,2022-04-30,1102941,191,8526,0,1093508,261,907,23,97485,754.0,12920253,1141970,11314005
58,58,Lebanon,2022-04-30,1096955,101,10386,2,1081770,378,4799,186,162039,1534.0,4795578,708389,6769695
59,59,Lithuania,2022-04-30,1058195,504,9094,2,1023749,1229,25352,35,398863,3428.0,8247311,3108638,2653030
60,60,Tunisia,2022-04-30,1040193,0,28550,0,0,0,0,29,86365,2370.0,4572976,379683,12044209
61,61,Finland,2022-04-30,1023013,0,3939,0,46000,0,973074,24,184114,709.0,10720282,1929350,5556421
62,62,Slovenia,2022-04-30,1010058,948,6592,0,990337,1319,13129,23,485731,3170.0,2646120,1272504,2079459
63,63,Belarus,2022-04-30,980345,436,6947,4,928536,0,44862,0,103810,736.0,13157373,1393250,9443653
64,64,Nepal,2022-04-30,978810,4,11951,0,966629,17,230,0,32527,397.0,5636303,187299,30092577
65,65,New Zealand,2022-04-30,930969,7122,702,6,877888,7966,52379,0,186116,140.0,7078901,1415186,5002100
66,66,Bolivia,2022-04-30,904974,91,21910,0,858434,381,24630,220,75645,1831.0,2699040,225607,11963463
67,67,UAE,2022-04-30,898571,261,2302,0,881831,315,14438,0,88894,228.0,155925308,15425351,10108380
68,68,Uruguay,2022-04-30,895775,0,7197,0,886654,0,1924,18,256251,2059.0,6091188,1742485,3495691
69,69,Ecuador,2022-04-30,869696,247,35598,4,0,0,0,759,47965,1963.0,2470170,136235,18131709
70,70,Costa Rica,2022-04-30,852074,0,8405,0,832853,0,10816,45,164526,1623.0,4291131,828568,5178975
71,71,Guatemala,2022-04-30,846546,678,17584,18,826602,621,2360,5,45710,949.0,4454022,240498,18519975
72,72,Latvia,2022-04-30,822013,0,5760,0,808909,0,7344,11,444771,3117.0,7174863,3882144,1848170
73,73,Azerbaijan,2022-04-30,792562,4,9709,0,782761,17,92,0,76904,942.0,6814486,661222,10305891
74,74,Panama,2022-04-30,776420,932,8184,0,762170,501,6066,8,174922,1844.0,5873370,1323233,4438653
75,75,Saudi Arabia,2022-04-30,754011,90,9088,2,741673,133,3250,45,21060,254.0,41892775,1170099,35802769
76,76,Sri Lanka,2022-04-30,663362,33,16504,0,646125,4,733,0,30744,765.0,6486117,300603,21577036
77,77,Paraguay,2022-04-30,649455,0,18870,0,624673,0,5912,2,89060,2588.0,2623300,359733,7292354
78,78,Kuwait,2022-04-30,631409,0,2555,0,628090,0,764,8,143968,583.0,8007805,1825861,4385769
79,79,Myanmar,2022-04-30,612883,19,19434,0,591812,18,1637,0,11128,353.0,7954939,144438,55075204
80,80,Palestine,2022-04-30,581940,0,5353,0,576242,0,345,17,109435,1007.0,3078533,578927,5317654
81,81,Dominican Republic,2022-04-30,579248,0,4376,0,574601,0,271,6,52438,396.0,3274131,296399,11046352
82,82,Estonia,2022-04-30,572193,276,2539,1,511039,689,58615,3,430816,1912.0,3326696,2504737,1328162
83,83,Bahrain,2022-04-30,568706,339,1475,0,563892,419,3339,3,314309,815.0,9721489,5372820,1809383
84,84,Venezuela,2022-04-30,522325,20,5709,1,515675,9,941,230,18464,202.0,3359014,118739,28288977
85,85,Moldova,2022-04-30,516986,0,11489,0,504142,0,1355,49,128704,2860.0,3216305,800701,4016861
86,86,Egypt,2022-04-30,515645,0,24613,0,442182,0,48850,122,4871,233.0,3693367,34891,105854445
87,87,Libya,2022-04-30,501904,0,6430,0,490973,0,4501,101,71276,913.0,2477219,351791,7041726
