,#,"Country,Other",Date,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population
0, ,World,2022-05-01,513539613,293011,6261555,920,467602144,443628,39675914,41329,65882,803.3,6281227210,406723309,7882354754
1,1,China,2022-05-01,216587,920,5060,38,187525,3447,24002,447,150,4.0,160000000,111163,1439323776
2,2,USA,2022-05-01,83083425,16518,1020854,21,80719929,35030,1342642,1554,248345,3051.0,1005593629,3005820,334548810
3,3,India,2022-05-01,43082502,3314,523869,26,42538976,2723,19657,698,30668,373.0,837913110,596468,1404791509
4,4,Brazil,2022-05-01,30454490,6254,663567,16,29533039,13835,257884,8318,141438,3082.0,63776166,296193,215319917
5,5,France,2022-05-01,28682011,36726,145962,32,26826937,25431,1709112,1677,437643,2227.0,266484045,4066138,65537387
6,6,Germany,2022-05-01,24770595,8995,135913,13,22356000,48100,2278682,1446,293931,1613.0,122332384,1451613,84273389
7,7,UK,2022-05-01,22038340,0,174912,0,21210408,42141,653020,302,321551,2552.0,517337635,7548239,68537525
8,8,Russia,2022-05-01,18189401,7047,376031,147,17548718,8733,264652,2300,124543,2575.0,273400000,1871977,146048781
9,9,S. Korea,2022-05-01,17275649,37771,22875,81,0,0,0,793,336431,445.0,15804065,307773,51349793
10,10,Italy,2022-05-01,16504791,40757,163612,105,15109509,39195,1231670,366,273714,2713.0,214061284,3549973,60299411
11,11,Turkey,2022-05-01,15033573,1480,98783,12,14930088,2113,4702,975,174815,1149.0,159133216,1850450,85997034
12,12,Spain,2022-05-01,11896152,0,104456,0,11389694,0,402002,339,254257,2233.0,471036328,10067490,46787862
13,13,Vietnam,2022-05-01,10653526,3717,43042,1,9264366,2111,1346118,475,107678,435.0,85799603,867200,98938645
14,14,Argentina,2022-05-01,9083673,1024,128653,13,8895999,0,59021,372,197671,2800.0,35716069,777223,45953458
15,15,Netherlands,2022-05-01,8047132,0,22243,0,7836980,25416,187909,66,467744,1293.0,21107399,1226879,17204137
16,16,Japan,2022-05-01,7876508,26256,29567,19,7439103,36533,407838,165,62627,235.0,48754790,387653,125769179
17,17,Iran,2022-05-01,7222308,655,141096,13,6986516,3014,94696,1001,84022,1641.0,50914586,592327,85956910
18,18,Colombia,2022-05-01,6092667,0,139797,0,5926476,0,26394,342,117452,2695.0,34465052,664403,51873698
19,19,Indonesia,2022-05-01,6047040,244,156273,16,5883293,633,7474,2771,21689,561.0,95647196,343058,278807646
